source_variant_id,currency,price_amount,compare_at_amount,cost_amount,captured_at
pilot-001-v1,AUD,33.00,,,2026-07-28
pilot-003-v1,AUD,1349.95,,,2026-07-28
pilot-004-v1,AUD,1999.95,,,2026-07-28
pilot-005-v1,AUD,101.95,,,2026-07-28
pilot-006-v1,AUD,1099.95,,,2026-07-28
pilot-007-v1,AUD,556.95,,,2026-07-28
pilot-009-v1,AUD,679.90,,,2026-07-28
pilot-010-v1,AUD,160.00,,,2026-07-28
pilot-012-v1,AUD,1599.99,,,2026-07-28
pilot-013-v1,AUD,854.95,949.90,,2026-07-28
pilot-014-v1,AUD,500.00,,,2026-07-28
pilot-015-v1,AUD,512.95,,,2026-07-28
